2025-04-01 12:34:27,532 - INFO - Trovati 1655 blocchi totali nel file
2025-04-01 12:34:32,766 - INFO -   Blocco 3/1655 gi‡ in inglese, salto traduzione
2025-04-01 12:34:34,773 - INFO -   Blocco 4/1655 gi‡ in inglese, salto traduzione
2025-04-01 12:34:36,778 - INFO -   Blocco 5/1655 gi‡ in inglese, salto traduzione
2025-04-01 12:34:38,783 - INFO -   Blocco 6/1655 gi‡ in inglese, salto traduzione
2025-04-01 12:34:40,789 - INFO -   Blocco 7/1655 gi‡ in inglese, salto traduzione
2025-04-01 12:34:42,794 - INFO -   Blocco 8/1655 gi‡ in inglese, salto traduzione
2025-04-01 12:34:44,799 - INFO -   Blocco 9/1655 gi‡ in inglese, salto traduzione
2025-04-01 12:34:46,813 - INFO -   Blocco 10/1655 gi‡ in inglese, salto traduzione
2025-04-01 12:34:48,819 - INFO -   Blocco 11/1655 gi‡ in inglese, salto traduzione
2025-04-01 12:34:50,823 - INFO -   Blocco 12/1655 gi‡ in inglese, salto traduzione
2025-04-01 12:34:52,827 - INFO -   Blocco 13/1655 gi‡ in inglese, salto traduzione
2025-04-01 12:34:54,832 - INFO -   Blocco 14/1655 gi‡ in inglese, salto traduzione
2025-04-01 12:34:56,835 - INFO -   Blocco 15/1655 gi‡ in inglese, salto traduzione
2025-04-01 12:34:58,840 - INFO -   Blocco 16/1655 gi‡ in inglese, salto traduzione
2025-04-01 12:35:00,846 - INFO -   Blocco 17/1655 gi‡ in inglese, salto traduzione
2025-04-01 12:35:02,851 - INFO -   Blocco 18/1655 gi‡ in inglese, salto traduzione
2025-04-01 12:35:04,857 - INFO -   Blocco 19/1655 gi‡ in inglese, salto traduzione
2025-04-01 12:35:06,862 - INFO -   Blocco 20/1655 gi‡ in inglese, salto traduzione
2025-04-01 12:35:08,863 - INFO -   Blocco 21/1655 gi‡ in inglese, salto traduzione
2025-04-01 12:35:10,866 - INFO -   Blocco 22/1655 gi‡ in inglese, salto traduzione
2025-04-01 12:35:12,872 - INFO -   Blocco 23/1655 gi‡ in inglese, salto traduzione
2025-04-01 12:35:14,878 - INFO -   Blocco 24/1655 gi‡ in inglese, salto traduzione
2025-04-01 12:35:16,885 - INFO -   Blocco 25/1655 gi‡ in inglese, salto traduzione
2025-04-01 12:35:18,891 - INFO -   Blocco 26/1655 gi‡ in inglese, salto traduzione
